layer,coordinate,seed,teacher_direction_norm,teacher_direction_over_mean_base_norm,teacher_half_split_cosine,teacher_mean_row_cosine_to_direction,student_teacherward_projection,student_fraction_of_teacher_direction,student_cosine_to_teacher_direction,student_delta_norm,student_delta_over_mean_base_norm
12,transported_jspace,54101,18.796161651611328,0.16295157349946873,0.9813187122344971,0.8994672894477844,-7.3823957443237305,-0.39276081367872595,-0.31849804520606995,23.17877960205078,0.20094627179521912
12,transported_jspace,54102,18.796161651611328,0.16295157349946873,0.9813187122344971,0.8994672894477844,-10.375340461730957,-0.5519925107071803,-0.3703267574310303,28.0167179107666,0.24288832754632078
12,transported_jspace,54103,18.796161651611328,0.16295157349946873,0.9813187122344971,0.8994672894477844,-15.882414817810059,-0.8449818166172515,-0.46194490790367126,34.381614685058594,0.2980682075535594
13,transported_jspace,54101,22.729637145996094,0.17989554507151123,0.9835206270217896,0.9210601449012756,-12.489935874938965,-0.5495000115802161,-0.4478306770324707,27.889862060546875,0.22073656104251316
13,transported_jspace,54102,22.729637145996094,0.17989554507151123,0.9835206270217896,0.9210601449012756,-12.705856323242188,-0.5589995230293577,-0.42368993163108826,29.988567352294922,0.23734693321776745
13,transported_jspace,54103,22.729637145996094,0.17989554507151123,0.9835206270217896,0.9210601449012756,-25.193683624267578,-1.1084067670084006,-0.5708171129226685,44.13615798950195,0.34931917953131203
14,transported_jspace,54101,21.282276153564453,0.16953679828089907,0.947861909866333,0.8538150191307068,-4.32518196105957,-0.20322929417186278,-0.17080754041671753,25.32195281982422,0.20171727762182856
14,transported_jspace,54102,21.282276153564453,0.16953679828089907,0.947861909866333,0.8538150191307068,-5.045865535736084,-0.23709238144111663,-0.17047029733657837,29.599672317504883,0.23579403061326507
14,transported_jspace,54103,21.282276153564453,0.16953679828089907,0.947861909866333,0.8538150191307068,-9.76604175567627,-0.45888145070613645,-0.27724701166152954,35.225059509277344,0.2806064429089184
15,transported_jspace,54101,23.652809143066406,0.19258054945898662,0.9613794088363647,0.8555115461349487,3.903343677520752,0.16502664245548945,0.20519477128982544,19.022626876831055,0.1548817273219024
